Threads,BlockSize,HackSize,Time_s,MFLOPS,NNZ,Matrix,Format,Mode,GFLOPS
14,-1,16,2.831e-05,519.49,7353,west2021.mtx,HLL,OpenMP,0.51949
15,-1,16,3.382e-05,434.78,7353,west2021.mtx,HLL,OpenMP,0.43478
16,-1,16,3.404e-05,432.02,7353,west2021.mtx,HLL,OpenMP,0.43201999999999996
17,-1,16,3.71e-05,396.4,7353,west2021.mtx,HLL,OpenMP,0.3964
18,-1,16,3.811e-05,385.88,7353,west2021.mtx,HLL,OpenMP,0.38588
19,-1,16,4.219e-05,348.54,7353,west2021.mtx,HLL,OpenMP,0.34854
20,-1,16,3.823e-05,384.71,7353,west2021.mtx,HLL,OpenMP,0.38471
21,-1,16,4.11e-05,357.77,7353,west2021.mtx,HLL,OpenMP,0.35777
22,-1,16,4.341e-05,338.74,7353,west2021.mtx,HLL,OpenMP,0.33874
23,-1,16,4.673e-05,314.72,7353,west2021.mtx,HLL,OpenMP,0.31472
24,-1,16,4.656e-05,315.86,7353,west2021.mtx,HLL,OpenMP,0.31586000000000003
25,-1,16,4.775e-05,307.97,7353,west2021.mtx,HLL,OpenMP,0.30797
26,-1,16,5.13e-05,286.64,7353,west2021.mtx,HLL,OpenMP,0.28664
27,-1,16,5.778e-05,254.52,7353,west2021.mtx,HLL,OpenMP,0.25452
28,-1,16,5.226e-05,281.41,7353,west2021.mtx,HLL,OpenMP,0.28141000000000005
29,-1,16,5.972e-05,246.26,7353,west2021.mtx,HLL,OpenMP,0.24625999999999998
30,-1,16,5.804e-05,253.4,7353,west2021.mtx,HLL,OpenMP,0.2534
31,-1,16,6.351e-05,231.55,7353,west2021.mtx,HLL,OpenMP,0.23155
32,-1,16,6.105e-05,240.87,7353,west2021.mtx,HLL,OpenMP,0.24087
33,-1,16,6.545e-05,224.69,7353,west2021.mtx,HLL,OpenMP,0.22469
34,-1,16,6.257e-05,235.02,7353,west2021.mtx,HLL,OpenMP,0.23502
35,-1,16,6.666e-05,220.61,7353,west2021.mtx,HLL,OpenMP,0.22061
36,-1,16,7.164e-05,205.28,7353,west2021.mtx,HLL,OpenMP,0.20528
37,-1,16,7.697e-05,191.07,7353,west2021.mtx,HLL,OpenMP,0.19107
38,-1,16,7.1e-05,207.13,7353,west2021.mtx,HLL,OpenMP,0.20713
39,-1,16,7.657e-05,192.06,7353,west2021.mtx,HLL,OpenMP,0.19206
40,-1,16,8.096e-05,181.65,7353,west2021.mtx,HLL,OpenMP,0.18165
1,-1,16,0.00021588,707.5,76367,cavity10.mtx,HLL,OpenMP,0.7075
2,-1,16,0.00014134,1080.59,76367,cavity10.mtx,HLL,OpenMP,1.08059
3,-1,16,8.784e-05,1738.85,76367,cavity10.mtx,HLL,OpenMP,1.73885
4,-1,16,6.653e-05,2295.66,76367,cavity10.mtx,HLL,OpenMP,2.29566
5,-1,16,5.484e-05,2784.98,76367,cavity10.mtx,HLL,OpenMP,2.78498
6,-1,16,4.954e-05,3083.04,76367,cavity10.mtx,HLL,OpenMP,3.08304
7,-1,16,8.624e-05,1771.06,76367,cavity10.mtx,HLL,OpenMP,1.7710599999999999
8,-1,16,4.155e-05,3676.33,76367,cavity10.mtx,HLL,OpenMP,3.67633
9,-1,16,4.025e-05,3795.01,76367,cavity10.mtx,HLL,OpenMP,3.7950100000000004
10,-1,16,3.795e-05,4024.15,76367,cavity10.mtx,HLL,OpenMP,4.02415
11,-1,16,4.367e-05,3497.47,76367,cavity10.mtx,HLL,OpenMP,3.49747
12,-1,16,4.127e-05,3701.09,76367,cavity10.mtx,HLL,OpenMP,3.70109
13,-1,16,4.44e-05,3439.88,76367,cavity10.mtx,HLL,OpenMP,3.43988
14,-1,16,4.546e-05,3359.49,76367,cavity10.mtx,HLL,OpenMP,3.3594899999999996
15,-1,16,4.381e-05,3486.67,76367,cavity10.mtx,HLL,OpenMP,3.48667
16,-1,16,4.769e-05,3202.66,76367,cavity10.mtx,HLL,OpenMP,3.20266
17,-1,16,4.941e-05,3091.13,76367,cavity10.mtx,HLL,OpenMP,3.09113
18,-1,16,5.187e-05,2944.83,76367,cavity10.mtx,HLL,OpenMP,2.94483
19,-1,16,4.718e-05,3237.01,76367,cavity10.mtx,HLL,OpenMP,3.23701
20,-1,16,5.495e-05,2779.4,76367,cavity10.mtx,HLL,OpenMP,2.7794
21,-1,16,5.055e-05,3021.61,76367,cavity10.mtx,HLL,OpenMP,3.02161
22,-1,16,5.683e-05,2687.67,76367,cavity10.mtx,HLL,OpenMP,2.6876700000000002
23,-1,16,5.913e-05,2582.86,76367,cavity10.mtx,HLL,OpenMP,2.58286
24,-1,16,6.054e-05,2523.05,76367,cavity10.mtx,HLL,OpenMP,2.52305
25,-1,16,6.157e-05,2480.83,76367,cavity10.mtx,HLL,OpenMP,2.48083
26,-1,16,6.349e-05,2405.46,76367,cavity10.mtx,HLL,OpenMP,2.40546
27,-1,16,6.121e-05,2495.11,76367,cavity10.mtx,HLL,OpenMP,2.49511
28,-1,16,6.557e-05,2329.42,76367,cavity10.mtx,HLL,OpenMP,2.3294200000000003
29,-1,16,6.434e-05,2373.95,76367,cavity10.mtx,HLL,OpenMP,2.37395
30,-1,16,6.37e-05,2397.59,76367,cavity10.mtx,HLL,OpenMP,2.39759
31,-1,16,6.95e-05,2197.72,76367,cavity10.mtx,HLL,OpenMP,2.19772
32,-1,16,7.436e-05,2054.09,76367,cavity10.mtx,HLL,OpenMP,2.05409
33,-1,16,7.237e-05,2110.4,76367,cavity10.mtx,HLL,OpenMP,2.1104000000000003
34,-1,16,7.25e-05,2106.62,76367,cavity10.mtx,HLL,OpenMP,2.10662
35,-1,16,7.377e-05,2070.44,76367,cavity10.mtx,HLL,OpenMP,2.07044
36,-1,16,8.017e-05,1905.12,76367,cavity10.mtx,HLL,OpenMP,1.90512
37,-1,16,7.904e-05,1932.28,76367,cavity10.mtx,HLL,OpenMP,1.93228
38,-1,16,8.131e-05,1878.49,76367,cavity10.mtx,HLL,OpenMP,1.87849
39,-1,16,8.351e-05,1828.83,76367,cavity10.mtx,HLL,OpenMP,1.82883
40,-1,16,9.759e-05,1565.1,76367,cavity10.mtx,HLL,OpenMP,1.5651
1,-1,16,0.00604434,868.36,2624331,cop20k_A.mtx,HLL,OpenMP,0.86836
